process_name,arrival_time,duration,priority,start_time,end_time,total_time,waiting_time,average_time,remaining_time
B,1,4,2,1.0,5.0,4.0,0,1.0,0
E,4,8,2,5.0,13.0,10.0,2,1.25,0
A,5,2,3,13.0,15.0,11.0,9,5.5,0
D,5,3,4,15.0,18.0,14.0,11,4.666666666666667,0
F,5,3,5,18.0,21.0,17.0,14,5.666666666666667,0
C,6,5,1,21.0,26.0,21.0,16,4.2,0
G,7,2,5,26.0,28.0,22.0,20,11.0,0
H,7,4,1,28.0,32.0,26.0,22,6.5,0
I,10,8,3,32.0,40.0,31.0,23,3.875,0
J,12,5,2,40.0,45.0,34.0,29,6.8,0
K,15,6,5,45.0,51.0,37.0,31,6.166666666666667,0
L,16,5,4,51.0,56.0,41.0,36,8.2,0
